Type of pest,Pest Name,UK,Likelihood (unmitigated),Impact (unmitigated),Risk Rating (unmitigated),Regulation,Likelihood (mitigated),Impact (mitigated),Risk Rating (mitigated),Scenario for Risk Register,Species,Regulated,Natural Spread
Fungus,Ceropsora weirii,Absent,3.0,2.0,30.0,Pathway prohibition on Picea plants in both GB &amp; NI,1.0,2.0,10.0,Pest is introduced,Ceropsora weirii,No,No
Virus or Viroid,Cherry green ring mottle virus,Absent,4.0,2.0,16.0,The RNQP measures will not affect entry; as the virus may enter as latent infections on other hosts; but are likely to reduce the level of impacts on UK cherry production. ,4.0,1.0,8.0,Pest is introduced,Cherry green,No,No
Virus or Viroid,Cherry leaf roll virus,Present (Unknown Distribution),2.0,3.0,30.0,Regulated non quarantine pest for Juglans regia; Olea europaea; Prunus avium; Prunus cerasus ,2.0,3.0,30.0,Pest spreads to maximum extent,Cherry leaf,No,No
Virus or Viroid,Cherry mottle leaf virus,Absent,,,,,,,,,Cherry mottle,No,No
Virus or Viroid,Cherry necrotic rusty mottle virus,Present (Widespread),,,,,,,,,Cherry necrotic,No,No
Virus or Viroid,Cherry rasp leaf virus,Absent,3.0,2.0,24.0,Regulated quarantine pest,2.0,2.0,16.0,Pest is introduced,Cherry rasp,Yes,No
Virus or Viroid,Cherry rosette virus,Absent,,,,Regulated quarantine pest (Northern Ireland),,,,,Cherry rosette,Yes,No
Virus or Viroid,Cherry rusty mottle associated virus,,,,,Regulated quarantine pest (Northern Ireland),,,,,Cherry rusty,Yes,No
Virus or Viroid,Cherry twisted leaf associated virus,Absent,,,,Regulated quarantine pest (Northern Ireland),,,,,Cherry twisted,Yes,No
Virus or Viroid,Chilli leaf curl virus,Absent,,,,Regulated quarantine pest (In Great Britain under the listing &quot;Begomoviruses&quot;),,,,,Chilli leaf,Yes,No
Virus or Viroid,Chilli veinal mottle virus,Absent,3.0,3.0,27.0,Provisional quarantine pest (Great Britain); prohibition on solanaceous planting material from outside Europe,2.0,3.0,18.0,Pest is introduced,Chilli veinal,No,No
Fungus,Chondrostereum purpureum,Present (Widespread),,,,,,,,,Chondrostereum purpureum,No,No
Virus or Viroid,Chrysanthemum stem necrosis virus,Absent,4.0,4.0,48.0,Regulated quarantine pest,3.0,4.0,36.0,Pest is introduced,Chrysanthemum stem,Yes,No
